word,bonares_voc,lemma
bagging (pest control),pest control,bagging ( pest control )
biological pest control,pest control,biological pest control
biological control,pest control,biological control
chemical pest control,pest control,chemical pest control
cultural pest control,pest control,cultural pest control
integrated pest management,pest control,integrate pest management
netting (pest control),pest control,net ( pest control )
postharvest control,pest control,postharv control
pest control baits,pest control,pest control bait
pest control equipment,pest control,pest control equipment
stored products pest control,pest control,store product pest control
thermal control,pest control,thermal control
conventional pest management,conventional pest management,conventional pest management
integrated pest management,integrated pest management,integrate pest management
organic pest management,organic pest management,organic pest management
no pest control,no pest control,no pest control
bactericide,bactericide,bactericide
bactericides,bactericide,bactericide
fungicide,fungicide,fungicide
copper fungicides,fungicide,copper fungicide
fungicide selectivity,fungicide,fungicide selectivity
fungicides,fungicide,fungicide
inorganic mercury fungicides,fungicide,inorganic mercury fungicide
mercury fungicides,fungicide,mercury fungicide
organomercury fungicides,fungicide,organomercury fungicide
resistance to fungicides,fungicide,resistance to fungicide
herbicide,herbicide,herbicide
amide herbicides,herbicide,amide herbicide
anilide herbicides,herbicide,anilide herbicide
aromatic acid herbicides,herbicide,aromatic acid herbicide
aryloxyphenoxypropionic acid herbicides,herbicide,aryloxyphenoxypropionic acid herbicide
benzoic acid herbicides,herbicide,benzoic acid herbicide
benzoylcyclohexanedione herbicides,herbicide,benzoylcyclohexanedione herbicide
cyclohexene oxime herbicides,herbicide,cyclohexene oxime herbicide
cyclopropylisoxazole herbicides,herbicide,cyclopropylisoxazole herbicide
dinitroaniline herbicides,herbicide,dinitroaniline herbicide
diphenyl ether herbicides,herbicide,diphenyl ether herbicide
herbicide resistance,herbicide,herbicide resistance
herbicide safeners,herbicide,herbicide safener
herbicide selectivity,herbicide,herbicide selectivity
herbicides,herbicide,herbicide
imidazolinone herbicides,herbicide,imidazolinone herbicide
nitrile herbicides,herbicide,nitrile herbicide
nitrophenyl ether herbicides,herbicide,nitrophenyl ether herbicide
phenoxy acid herbicides,herbicide,phenoxy acid herbicide
phenoxy herbicides,herbicide,phenoxy herbicide
phenoxypropionic herbicides,herbicide,phenoxypropionic herbicide
phenyl pyrazole herbicides,herbicide,phenyl pyrazole herbicide
picolinic acid herbicides,herbicide,picolinic acid herbicide
pyrazole herbicides,herbicide,pyrazole herbicide
pyridine herbicides,herbicide,pyridine herbicide
pyrimidinyl sulfonylurea herbicides,herbicide,pyrimidinyl sulfonylurea herbicide
pyrimidinyloxybenzoic acid herbicides,herbicide,pyrimidinyloxybenzoic acid herbicide
quaternary ammonium herbicides,herbicide,quaternary ammonium herbicide
quinolinecarboxylic acid herbicides,herbicide,quinolinecarboxylic acid herbicide
selective herbicides,herbicide,selective herbicide
sulfonanilide herbicides,herbicide,sulfonanilide herbicide
sulfonylurea herbicides,herbicide,sulfonylurea herbicide
thiocarbamate herbicides,herbicide,thiocarbamate herbicide
triazinylsulfonylurea herbicides,herbicide,triazinylsulfonylurea herbicide
triazolone herbicides,herbicide,triazolone herbicide
triazolopyrimidine herbicides,herbicide,triazolopyrimidine herbicide
urea herbicides,herbicide,urea herbicide
insecticide,insecticide,insecticide
bacterial insecticides,insecticide,bacterial insecticide
biological insecticides,insecticide,biological insecticide
botanical insecticides,insecticide,botanical insecticide
cyclodiene insecticides,insecticide,cyclodiene insecticide
rotenone,insecticide,rotenone
diamide insecticides,insecticide,diamide insecticide
fluorine insecticides,insecticide,fluorine insecticide
formamidine insecticides,insecticide,formamidine insecticide
fumigant insecticides,insecticide,fumigant insecticide
pesticide crops,insecticide,pesticide crop
insecticide resistance,insecticide,insecticide resistance
insecticide selectivity,insecticide,insecticide selectivity
insecticides,insecticide,insecticide
microbial insecticides,insecticide,microbial insecticide
neonicotinoid insecticides,insecticide,neonicotinoid insecticide
organochlorine insecticides,insecticide,organochlorine insecticide
organophosphorus insecticides,insecticide,organophosphorus insecticide
organothiophosphate insecticides,insecticide,organothiophosphate insecticide
oxadiazine insecticides,insecticide,oxadiazine insecticide
pyrazole insecticides,insecticide,pyrazole insecticide
pyrethroid insecticides,insecticide,pyrethroid insecticide
pyrethrins,insecticide,pyrethrin
spinosyn insecticides,insecticide,spinosyn insecticide
tetramic acid insecticides,insecticide,tetramic acid insecticide
tetronic acid insecticides,insecticide,tetronic acid insecticide
miticide,miticide,miticide
acaricides,miticide,acaricide
termiticides,miticide,termiticide
molluscicide,molluscicide,molluscicide
molluscicides,molluscicide,molluscicide
nematicide,nematicide,nematicide
nematicides,nematicide,nematicide
resistance to nematicides,nematicide,resistance to nematicide
virucide,virucide,virucide
antiviral agents,virucide,antiviral agent
grazing management,grazing management,graze management
grazing systems,grazing management,grazing system
no grazing,no grazing,no grazing
continuous grazing,continuous grazing,continuous grazing
rotational grazing,rotational grazing,rotational grazing
intensive rotational grazing,intensive rotational grazing,intensive rotational grazing
strip grazing,strip grazing,strip grazing
crops,crops,crop
feed crops,crops,feed crop
Anisarchus macrops,crops,Anisarchus macrop
Apristurus microps,crops,Apristurus microp
essential oil crops,crops,essential oil crop
autochthonous crops,crops,autochthonous crop
Bathygadus macrops,crops,Bathygadus macrop
Bathymicrops brevianalis,crops,bathymicrop brevianalis
berry crops,crops,berry crop
beverage crops,crops,beverage crop
cole crops,crops,cole crop
calabash crops,crops,calabash crop
Callochromis macrops,crops,Callochromis macrop
cash crops,crops,cash crop
catch crops,crops,catch crop
Caulolatilus microps,crops,caulolatilus microp
cereal crops,crops,cereal crop
companion crops,crops,companion crop
Corvula macrops,crops,Corvula macrop
Cottunculus microps,crops,cottunculus microp
cover plants,crops,cover plant
mowing,crops,mow
Dasyatis microps,crops,Dasyatis microp
fuel crops,crops,fuel crop
fibre crops,crops,fibre crop
field crops,crops,field crop
culinary herbs,crops,culinary herb
spice crops,crops,spice crop
food crops,crops,food crop
fruit crops,crops,fruit crop
grain crops,crops,grain crop
greenhouse crops,crops,greenhouse crop
herbage crops,crops,herbage crop
Hippoglossina macrops,crops,Hippoglossina macrop
industrial crops,crops,industrial crop
pesticide crops,crops,pesticide crop
Muraenolepis microps,crops,muraenolepis microp
Nebris microps,crops,Nebris microp
postmortem examination,crops,postmortem examination
nut crops,crops,nut crop
oil crops,crops,oil crop
Pareiodon microps,crops,Pareiodon microp
perennials,crops,perennial
plantation crops,crops,plantation crop
prohibited crops,crops,prohibit crop
Epinephelus,crops,epinephelus
grain legumes,crops,grain legume
root crops,crops,root crop
rootstock crops,crops,rootstock crop
rubber crops,crops,rubber crop
salad crops,crops,salad crop
seed crops,crops,seed crop
Sinibrama macrops,crops,Sinibrama macrop
spring crops,crops,spring crop
starch crops,crops,starch crop
Stellifer microps,crops,stellifer microp
stimulant crops,crops,stimulant crop
structural crops,crops,structural crop
sugar crops,crops,sugar crop
summer catch crops,crops,summer catch crop
trap crops,crops,trap crop
tree crops,crops,tree crop
tropical crops,crops,tropical crop
upland crops,crops,upland crop
vegetable crops,crops,vegetable crop
winter catch crops,crops,winter catch crop
winter crops,crops,winter crop
cover crop,cover crop,cover crop
cover plants,cover crop,cover plant
no cover crop,no cover crop,no cover crop
catch crop,catch crop,catch crop
catch cropping,catch crop,catch cropping
catch crops,catch crop,catch crop
summer catch crops,catch crop,summer catch crop
winter catch crops,catch crop,winter catch crop
no catch crop,no catch crop,no catch crop
monoculture,monoculture,monoculture
monoculture (aquaculture),monoculture,monoculture ( aquaculture )
crop rotation,crop rotation,crop rotation
intercropping,intercropping,intercrop
alley cropping,intercropping,alley crop
alley cropping,alley cropping,alley crop
hedgerows / shelterbelts,hedgerows / shelterbelts,hedgerow / shelterbelt
silvopasture,silvopasture,silvopasture
silvopastoral systems,silvopasture,silvopastoral system
spring barley,spring barley,spring barley
winter barley,winter barley,winter barley
coffee plant/coffea arabica,coffee plant/coffea arabica,coffee plant / coffea arabica
coffee plant/coffea canephora,coffee plant/coffea canephora,coffee plant / coffea canephora
mountain currant/ribes alpinum,mountain currant/ribes alpinum,mountain currant / ribe alpinum
northern black currant/ribes hudsonianum,northern black currant/ribes hudsonianum,northern black currant / ribe hudsonianum
skunk currant/ribes glandulosum,skunk currant/ribes glandulosum,skunk currant / ribe glandulosum
wax currant/ribes cereum,wax currant/ribes cereum,wax currant / ribe cereum
blackcurrant/ribes nigrum,blackcurrant/ribes nigrum,blackcurrant / ribe nigrum
golden currant/ribes aureum,golden currant/ribes aureum,golden currant / ribe aureum
alpine prickly currant/ribes montigenum,alpine prickly currant/ribes montigenum,alpine prickly currant / ribe montigenum
northern redurrant/ribes triste,northern redurrant/ribes triste,northern redurrant / ribe triste
flowering currant/ribes sanguineum,flowering currant/ribes sanguineum,flower currant / ribe sanguineum
redcurrant/ribes rubrum,redcurrant/ribes rubrum,redcurrant / ribe rubrum
