word,bonares_voc,lemma
sapodilla/manilkara zapota,sapodilla/manilkara zapota,sapodilla / manilkara zapota
white sapote/casimiroa edulis,white sapote/casimiroa edulis,white sapote / casimiroa eduli
chupa-chupa/quararibea cordata,chupa-chupa/quararibea cordata,chupa - chupa / quararibea cordata
canistel/pouteria campechiana,canistel/pouteria campechiana,canistel / pouteria campechiana
green sapote/pouteria viridis,green sapote/pouteria viridis,green sapote / pouteria viridis
mamey sapote/pouteria sapota,mamey sapote/pouteria sapota,mamey sapote / pouteria sapota
summer savory/satureja hortensis,summer savory/satureja hortensis,summer savory / satureja hortensis
winter savory/satureja montana,winter savory/satureja montana,winter savory / satureja montana
crete savory/satureja thymbra,crete savory/satureja thymbra,crete savory / satureja thymbra
black salsify/scorzonera hispanica,black salsify/scorzonera hispanica,black salsify / scorzonera hispanica
viper's-grass/scorzonera humilis,viper's-grass/scorzonera humilis,viper's - grass / scorzonera humili
lebanese salsify/scorzonera libanotica,lebanese salsify/scorzonera libanotica,lebanese salsify / scorzonera libanotica
garden strawberry/fragaria ã— ananassa,garden strawberry/fragaria ã— ananassa,garden strawberry / fragaria ã — ananassa
fragaria vesca,fragaria vesca,fragaria vesca
Fragaria vesca,fragaria vesca,Fragaria vesca
fragaria virginiana,fragaria virginiana,fragaria virginiana
Fragaria virginiana,fragaria virginiana,Fragaria virginiana
fragaria chiloensis,fragaria chiloensis,fragaria chiloensis
Fragaria chiloensis,fragaria chiloensis,Fragaria chiloensis
fragaria moschata,fragaria moschata,fragaria moschata
Fragaria moschata,fragaria moschata,Fragaria moschata
fragaria viridis,fragaria viridis,fragaria viridi
sugar palm/arenga pinnata,sugar palm/arenga pinnata,sugar palm / arenga pinnata
doub palm/borassus flabellifer,doub palm/borassus flabellifer,doub palm / borassus flabellifer
kitul palm/caryota urens,kitul palm/caryota urens,kitul palm / caryota uren
juglans regia,juglans regia,juglans regia
Juglans regia,juglans regia,Juglans regia
juglans nigra,juglans nigra,juglan nigra
Juglans nigra,juglans nigra,juglan nigra
juglans cinerea,juglans cinerea,juglan cinerea
Juglans cinerea,juglans cinerea,Juglans cinerea
spring wheat,spring wheat,spring wheat
winter wheat,winter wheat,winter wheat
dioscorea rotundata,dioscorea rotundata,dioscorea rotundata
Dioscorea rotundata,dioscorea rotundata,dioscorea rotundata
dioscorea cayennensis,dioscorea cayennensis,dioscorea cayennensis
dioscorea alata,dioscorea alata,dioscorea alata
Dioscorea alata,dioscorea alata,dioscorea alata
dioscorea polystachya,dioscorea polystachya,dioscorea polystachya
dioscorea bulbifera,dioscorea bulbifera,dioscorea bulbifera
Dioscorea bulbifera,dioscorea bulbifera,Dioscorea bulbifera
dioscorea esculenta,dioscorea esculenta,dioscorea esculenta
Dioscorea esculenta,dioscorea esculenta,dioscorea esculenta
dioscorea dumetorum,dioscorea dumetorum,dioscorea dumetorum
Dioscorea dumetorum,dioscorea dumetorum,dioscorea dumetorum
dioscorea trifida,dioscorea trifida,dioscorea trifida
Dioscorea trifida,dioscorea trifida,dioscorea trifida
dioscorea hirtiflora subsp. pedicellata,dioscorea hirtiflora subsp. pedicellata,dioscorea hirtiflora subsp . pedicellata
dioscorea japonica,dioscorea japonica,dioscorea japonica
harvesting,harvesting,harvesting
cashmere harvesting,harvesting,cashmere harvest
tree length logging,harvesting,tree length log
fishing methods,harvesting,fishing method
harvesting date,harvesting,harvesting date
harvesting frequency,harvesting,harvesting frequency
harvesting losses,harvesting,harvesting loss
illegal logging,harvesting,illegal logging
manual harvesting,harvesting,manual harvesting
mechanical harvesting,harvesting,mechanical harvesting
rainwater harvesting,harvesting,rainwater harvesting
salvage logging,harvesting,salvage log
water harvesting,harvesting,water harvesting
baling,baling,bale
mowing,mowing,mow
haymaking,haymaking,haymake
no harvesting,no harvesting,no harvesting
vegetation removal,vegetation removal,vegetation removal
drainage,drainage,drainage
acid mine drainage,drainage,acid mine drainage
biodrainage,drainage,biodrainage
drainage canals,drainage,drainage canal
drainage equipment,drainage,drainage equipment
drainage systems,drainage,drainage system
drainage water,drainage,drainage water
mole drainage,drainage,mole drainage
open ditch drainage,drainage,open ditch drainage
pipe drainage,drainage,pipe drainage
recycling of drainage water,drainage,recycling of drainage water
subsurface drainage,drainage,subsurface drainage
surface drainage,drainage,surface drainage
tile drainage,drainage,tile drainage
underdrainage,drainage,underdrainage
surface drainage,surface drainage,surface drainage
subsurface drainage,surface drainage,subsurface drainage
subsurface drainage,subsurface drainage,subsurface drainage
no drainage,no drainage,no drainage
farming system,farming system,farming system
farming systems,farming system,farming system
farming systems research,farming system,farming system research
organic farming,organic farming,organic farming
organic agriculture,organic farming,organic agriculture
conventional farming,conventional farming,conventional farming
precision farming,precision farming,precision farm
precision agriculture,precision farming,precision agriculture
integrated crop-livestock,integrated crop-livestock,integrate crop - livestock
integrated crop-livestock systems,integrated crop-livestock,integrate crop - livestock system
plantation forestry,plantation forestry,plantation forestry
succession from abandoned field,succession from abandoned field,succession from abandon field
